original_user_id,block,condition
1000190539,0_0_0,2
100029043,0_0_0,2
100050809,0_0_0,2
100068840,0_0_0,2
100085032,0_0_0,2
1000924519,0_0_0,2
1001039772,0_0_0,2
1001236232704315136,0_0_0,2
1001358798,0_0_0,2
1001503666564730752,0_0_0,2
1001713435321798656,0_0_0,2
1001873007097167744,0_0_0,2
1001931923730698240,0_0_0,2
1002178084257267584,0_0_0,2
1002237371729916032,0_0_0,2
10024312,0_0_0,2
1002546950208655232,0_0_0,2
1002798602,0_0_0,2
1003007907829633024,0_0_0,2
1003298710636449536,0_0_0,2
1003363295045152768,0_0_0,2
1003596195024064384,0_0_0,2
1003755457,0_0_0,2
1004093992190000000,0_0_0,2
100421516,0_0_0,2
1004336046509838336,0_0_0,2
1004439671705886848,0_0_0,2
1004775492,0_0_0,2
1004810646582677632,0_0_0,2
1004932246690725760,0_0_0,2
1005121870281265152,0_0_0,2
100522165,0_0_0,2
1005462662,0_0_0,2
1005501307287941248,0_0_0,2
1005729871,0_0_0,2
1005963469034868736,0_0_0,2
100605876,0_0_0,2
1006309260295311232,0_0_0,2
1006591024096075648,0_0_0,2
1006685326134464384,0_0_0,2
1006866031778856832,0_0_0,2
1006951411,0_0_0,2
1007081542756204416,0_0_0,2
1007470503022428032,0_0_0,2
1007618726,0_0_0,2
1007678514525454336,0_0_0,2
1007965431859220352,0_0_0,2
1008078959043489536,0_0_0,2
1008204430838321152,0_0_0,2
100838474,0_0_0,2
1008731281516060544,0_0_0,2
1008847453074968448,0_0_0,2
1008966755312521216,0_0_0,2
1009265619395596160,0_0_0,2
1009517632318471936,0_0_0,2
1009546419064262656,0_0_0,2
1009748622,0_0_0,2
1009874796983783424,0_0_0,2
1009912195625439232,0_0_0,2
1009981892081438848,0_0_0,2
1010237046709862400,0_0_0,2
1010568011391160448,0_0_0,2
1010649134661922816,0_0_0,2
101093429,0_0_0,2
1011274256796114816,0_0_0,2
101138031,0_0_0,2
101152320,0_0_0,2
1011687402287566848,0_0_0,2
1011850449912201216,0_0_0,2
1012163646120656768,0_0_0,2
1012414667715727232,0_0_0,2
1012489696490946432,0_0_0,2
1012662999990132736,0_0_0,2
1012878021034823552,0_0_0,2
1013078921485737984,0_0_0,2
101314642,0_0_0,2
1013383864922886016,0_0_0,2
1013445077723697152,0_0_0,2
1013656510776336384,0_0_0,2
1013879920190152832,0_0_0,2
1013979542082506752,0_0_0,2
1014121777,0_0_0,2
1014162945671073536,0_0_0,2
1014351075766423552,0_0_0,2
1014483702,0_0_0,2
1014634835170733952,0_0_0,2
1014913370133270400,0_0_0,2
101501257,0_0_0,2
1015341535,0_0_0,2
1015437633458073600,0_0_0,2
1015609788703469568,0_0_0,2
1015723167736828032,0_0_0,2
1015988127788404736,0_0_0,2
1016056868,0_0_0,2
101617189,0_0_0,2
1016349230980587648,0_0_0,2
1016458414828982144,0_0_0,2
1016619097872691200,0_0_0,2
1016684670937894784,0_0_0,2
101677662,0_0_0,2
1016985313305091968,0_0_0,2
1017122589578354560,0_0_0,2
1017189740020490240,0_0_0,2
1017423115977142144,0_0_0,2
1017636327213424640,0_0_0,2
1017816891119886336,0_0_0,2
1018031183203102848,0_0_0,2
101808963,0_0_0,2
1018466732728610816,0_0_0,2
1018639362932822016,0_0_0,2
1018737839570239360,0_0_0,2
1018886967226962048,0_0_0,2
1019050379290570752,0_0_0,2
1019181876710436864,0_0_0,2
1019357395485692032,0_0_0,2
1019422728233865216,0_0_0,2
1019554618861391744,0_0_0,2
1019745619152457600,0_0_0,2
1019974366824664960,0_0_0,2
